"Table 2. Gene expression data: 48 SLE, 42 Control"																																																																																																																																																																																												
			"Ctrl 1"		"Ctrl 2"		"Ctrl 3"		"Ctrl 4"		"Ctrl 5"		"Ctrl 6"		"Ctrl 7"		"Ctrl 8"		"Ctrl 9"		"Ctrl 10"		"Ctrl 11"		"Ctrl 12"		"Ctrl 13"		"Ctrl 14"		"Ctrl 15"		"Ctrl 16"		"Ctrl 17"		"Ctrl 18"		"Ctrl 19"		"Ctrl 20"		"Ctrl 21"		"Ctrl 22"		"Ctrl 23"		"Ctrl 24"		"Ctrl 25"		"Ctrl 26"		"Ctrl 27"		"Ctrl 28"		"Ctrl 29"		"Ctrl 30"		"Ctrl 31"		"Ctrl 32"		"Ctrl 33"		"Ctrl 34"		"Ctrl 35"		"Ctrl 36"		"Ctrl 37"		"Ctrl 38"		"Ctrl 39"		"Ctrl 40"		"Ctrl 41"		"Ctrl 42"		"SLE 1"		"SLE 2"		"SLE 3"		"SLE 4"		"SLE 5"		"SLE 6"		"SLE 7"		"SLE 8"		"SLE 9"		"SLE 10"		"SLE 11"		"SLE 12"		"SLE 13"		"SLE 14"		"SLE 15"		"SLE 16"		"SLE 17"		"SLE 18"		"SLE 19"		"SLE 20"		"SLE 21"		"SLE 22"		"SLE 23"		"SLE 24"		"SLE 25"		"SLE 26"		"SLE 27"		"SLE 28"		"SLE 29"		"SLE 30"		"SLE 31"		"SLE 32"		"SLE 33"		"SLE 34"		"SLE 35"		"SLE 36"		"SLE 37"		"SLE 38"		"SLE 39"		"SLE 40"		"SLE 41"		"SLE 42"		"SLE 43"		"SLE 44"		"SLE 45"		"SLE 46"		"SLE 47"		"SLE 48"							
"Probe Set"	"Accession no."	"Gene"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"AD"	"Abs. Call"	"Ctrl Mean*"	"SLE Mean"	"SLE Mean/Ctrl Mean"	"P value"
"1039_s_at"	"U22431"	"Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"	5788.7	"P"	5013.2	"P"	2829.5	"P"	2917.9	"P"	2791.6	"P"	3929.1	"P"	3890.1	"P"	3007.9	"P"	1688.4	"P"	2473.2	"P"	5802.1	"P"	2989.6	"P"	5205.6	"P"	2847.3	"P"	6302	"P"	8108.4	"P"	6124.5	"P"	2497.9	"P"	1602.4	"P"	3758.9	"P"	3897.3	"P"	3809.5	"P"	2550.5	"P"	1309.1	"P"	2325.6	"P"	2376.9	"P"	112.1	"M"	3025.4	"P"	1869.6	"P"	3347.3	"P"	1707.5	"P"	1975.1	"P"	2126.1	"P"	1639.7	"P"	2170.3	"P"	2944.2	"P"	2260.4	"P"	3179.2	"P"	2810.3	"P"	4549.2	"P"	3138.6	"P"	2860.5	"P"	5962.5	"P"	1861	"P"	3605	"P"	3106.4	"P"	1667.1	"P"	3942.2	"P"	3798.3	"P"	3260.3	"P"	2148.1	"P"	2336.3	"P"	1444.8	"P"	12111.2	"P"	3322.3	"P"	9925.5	"P"	2445.6	"P"	7133.2	"P"	4624	"P"	1850.7	"P"	1947.1	"P"	9607.4	"P"	5272.4	"P"	12717.4	"P"	2091.2	"P"	8805.9	"P"	3771.1	"P"	3461.7	"P"	4509.7	"P"	3739	"P"	5618.5	"P"	11570.9	"P"	15897.8	"P"	1007.8	"P"	2251.1	"P"	11167.7	"P"	15536.1	"P"	13103.4	"P"	6985.2	"P"	4904.5	"P"	21720.8	"P"	16517.5	"P"	16967.1	"P"	18611.1	"P"	16066.2	"P"	8729.8	"P"	1520.1	"P"	1308.1	"P"	3127.7	"P"	6819.7	"P"	3159	6807	2.15	5.3819650121796E-005		
"1107_s_at"	"M13755"	"Interferon-stimulated protein, 15 kDa"	4173.1	"P"	4421.1	"P"	3885	"P"	4381.7	"P"	10461.9	"P"	3422.3	"P"	4165.9	"P"	4238.8	"P"	3851.7	"P"	3744.2	"P"	13610.9	"P"	6813.5	"P"	8026.5	"P"	4268.1	"P"	7110.8	"P"	5761.2	"P"	1917.6	"P"	7106.4	"P"	11070.3	"P"	5246.6	"P"	6146.5	"P"	4998.6	"P"	6839.3	"P"	8859.8	"P"	12801.3	"P"	4392.3	"P"	11172.3	"P"	6952	"P"	5430.9	"P"	5603.3	"P"	6670.6	"P"	5326.6	"P"	4815.4	"P"	7604.8	"P"	5799.5	"P"	4342	"P"	4812.7	"P"	6165.8	"P"	4240.1	"P"	5165.3	"P"	4890.7	"P"	8547	"P"	3325.1	"P"	18664	"P"	24478.1	"P"	5472	"P"	9372.7	"P"	10043.8	"P"	3162	"P"	3529.9	"P"	2618.9	"P"	8462.1	"P"	2636.9	"P"	18264.9	"P"	3831.1	"P"	28301.2	"P"	37115	"P"	26126.9	"P"	7522.6	"P"	20719	"P"	93939.2	"P"	34205.9	"P"	19678	"P"	3085.2	"P"	13454.3	"P"	13016.7	"P"	10025.9	"P"	8076.1	"P"	24461.7	"P"	5152.3	"P"	11231.7	"P"	5462	"P"	3540.7	"P"	7825.7	"P"	37711.5	"P"	61051.6	"P"	2666.8	"P"	3955.1	"P"	8754.8	"P"	32692.6	"P"	57703.2	"P"	4581.5	"P"	3624.4	"P"	9298.5	"P"	2537	"P"	25349.3	"P"	4294.5	"P"	5030.6	"P"	3899.9	"P"	4156.2	"P"	6635	16480	2.48	0.0004987736		
"1110_at"	"M21624"	"T cell receptor delta locus"	5618.3	"P"	5989.9	"P"	7394.6	"P"	9255.1	"P"	7162.7	"P"	7296.8	"P"	9026	"P"	1124	"P"	4331.6	"P"	6336.5	"P"	5640.3	"P"	7613.9	"P"	2918.9	"P"	10479.9	"P"	8755.5	"P"	2124.8	"P"	1548.7	"P"	12433.8	"P"	9871.5	"P"	7241.2	"P"	12429.8	"P"	5437.4	"P"	7779.8	"P"	9234.5	"P"	6514.6	"P"	9599.9	"P"	18823.1	"P"	5527.5	"P"	18480.1	"P"	5928.9	"P"	4055.9	"P"	14294.6	"P"	5950.7	"P"	3677.4	"P"	8241.3	"P"	8499.1	"P"	17986.8	"P"	10965.2	"P"	10922.4	"P"	10902.5	"P"	6728.3	"P"	10297.6	"P"	5622.2	"P"	1957	"P"	1425.6	"P"	16133.5	"P"	5010.4	"P"	4649.7	"P"	3883.4	"P"	7497	"P"	7006.5	"P"	2709.3	"P"	1143.4	"P"	3467.7	"P"	7545.9	"P"	3893.2	"P"	2900.9	"P"	5023.7	"P"	2746.1	"P"	4275.4	"P"	1606.1	"P"	3275.5	"P"	6223.9	"P"	3561.7	"P"	4934.5	"P"	1778	"P"	5865.7	"P"	5418.2	"P"	4679.6	"P"	1586.7	"P"	4241	"P"	4937.7	"P"	2574.9	"P"	6156.9	"P"	6937	"P"	3654.1	"P"	1983.1	"P"	2450.8	"P"	6081.2	"P"	4579.3	"P"	2645.8	"P"	3039.4	"P"	1874.5	"P"	1109.3	"P"	1802.2	"P"	2087.6	"P"	5521.6	"P"	8141.7	"P"	4746.6	"P"	3341.9	"P"	8771	4690	0.53	2.38541578084607E-006		
"1150_at"	"X54134"	"Protein tyrosine phosphatase, receptor type, E"	3487.1	"P"	3724.7	"P"	3103.1	"P"	4941.8	"P"	3672.8	"P"	3943.1	"P"	3039.9	"P"	3341.5	"P"	3443.9	"P"	4278.8	"P"	3605.7	"P"	3358	"P"	2018.4	"P"	2450.7	"P"	5302.7	"P"	6827.9	"P"	9692.7	"P"	3252.1	"P"	1699.9	"P"	2460.6	"P"	3340.8	"P"	3735.3	"P"	3182.1	"P"	3113	"P"	2094.9	"P"	3470.5	"P"	3038.2	"P"	4721.1	"P"	3573	"P"	4407.4	"P"	3186.9	"P"	3247.5	"P"	3207.6	"P"	2058.1	"P"	3571.5	"P"	3068.7	"P"	3049.8	"P"	1538.6	"P"	1809.9	"P"	1375.4	"P"	1447.5	"P"	2015.1	"P"	3495.1	"P"	4525	"P"	3456.2	"P"	2631.8	"P"	4583.7	"P"	3808	"P"	3935.5	"P"	2475.1	"P"	3923.6	"P"	3766.5	"P"	4394	"P"	5832.4	"P"	4761.1	"P"	4958.5	"P"	3735.4	"P"	2720.6	"P"	3463.7	"P"	3411.7	"P"	4554.9	"P"	4833.4	"P"	3617.3	"P"	13174	"P"	3041	"P"	8343.1	"P"	2600.6	"P"	3513.1	"P"	3350.1	"P"	4655.5	"P"	5440.9	"P"	4006.1	"P"	9870.2	"P"	3653.3	"P"	2123	"P"	7139.7	"P"	16727.2	"P"	6419.2	"P"	3484.9	"P"	4139.5	"P"	8045.6	"P"	11659.2	"P"	5295.2	"P"	11250.6	"P"	13106.7	"P"	3131.7	"P"	4003.8	"P"	3496.7	"P"	3371.4	"P"	3181.1	"P"	3275	5125	1.56	0.0006634663		
"1358_s_at"	"U22970"	"Interferon, alpha-inducible protein (clone IFI-6-16)"	2072.2	"P"	1267.9	"P"	2167.2	"P"	1084.7	"P"	2351.2	"P"	1590.4	"A"	1734.6	"A"	1057.8	"P"	1169.6	"A"	687.3	"A"	2475	"P"	871.9	"A"	1065.4	"A"	1328.6	"A"	2347	"P"	2053.6	"A"	2127.8	"A"	1532.1	"A"	3318.1	"A"	1002.8	"P"	1220.4	"A"	984.1	"A"	1464	"A"	2107	"A"	2885.4	"P"	1351.5	"P"	3151.2	"P"	1492.8	"A"	1019.9	"P"	2329.6	"A"	2466.2	"A"	1060.4	"A"	653.9	"A"	952.9	"A"	1820.5	"A"	1304.4	"A"	1010.5	"A"	782.4	"P"	1370.9	"P"	1500.4	"A"	785.7	"A"	2071.9	"P"	1520.8	"P"	7639	"P"	6872.2	"P"	1680.4	"P"	2529.8	"P"	3021.4	"P"	1343.8	"P"	1139.3	"P"	1218.2	"P"	2729.3	"P"	894.7	"P"	2765.9	"P"	953.6	"A"	3439.9	"P"	3058.4	"P"	4131.6	"P"	2315.1	"A"	9363.6	"P"	14325	"P"	5471.4	"P"	5841.2	"P"	651.7	"A"	2937.1	"P"	1928.6	"P"	3793.4	"P"	1288.1	"P"	2638.3	"P"	3188.6	"A"	2051.5	"P"	2627.9	"A"	2355.2	"A"	2463.6	"A"	7827.5	"P"	10022.7	"P"	6846.5	"P"	1789.9	"A"	2111.1	"P"	3442.2	"P"	6439.9	"P"	1722	"P"	3211.5	"P"	4009.9	"P"	957	"P"	6294.1	"P"	2299	"A"	2010.5	"A"	964.3	"A"	1209.2	"A"	591	2787	4.72	0.000017109		
"1365_at"	"M26062"	"Interleukin 2 receptor, beta"	5425.7	"P"	6063	"P"	6137.2	"P"	12696.5	"P"	8543.1	"P"	9718.1	"P"	8163.7	"P"	1862.6	"P"	8258.1	"P"	7762.4	"P"	5368	"P"	9804.8	"P"	4019.9	"P"	6142	"P"	8512.2	"P"	3029.1	"P"	2878.5	"P"	13228	"P"	12540.5	"P"	8564.1	"P"	10358.5	"P"	6242.7	"P"	8216.9	"P"	18365.9	"P"	13157.2	"P"	9826.1	"P"	5630	"P"	8756.1	"P"	13087.1	"P"	9489.1	"P"	8371.2	"P"	14047	"P"	7869.9	"P"	8264.5	"P"	9976.6	"P"	10497.4	"P"	11182.8	"P"	6704	"P"	9403.8	"P"	6741.7	"P"	5331	"P"	6874.4	"P"	5522.6	"P"	2887	"P"	891.2	"P"	12000.8	"P"	10691.7	"P"	8250	"P"	3271.7	"P"	6463.3	"P"	9237.4	"P"	3630.4	"P"	1096.6	"P"	6501.5	"P"	10090.3	"P"	5043.4	"P"	2260.3	"P"	10008.6	"P"	2722.9	"P"	4709.8	"P"	823	"P"	3533.4	"P"	5330	"P"	4870.2	"P"	6902.1	"P"	2451	"P"	4662.7	"P"	7984.4	"P"	7036.9	"P"	370.6	"A"	2948	"P"	6836.9	"P"	3745	"P"	10217.8	"P"	9351.7	"P"	2949.4	"P"	1612.1	"P"	3211.4	"P"	6401	"P"	6239	"P"	2779	"P"	3647.2	"P"	3941	"P"	2268.1	"P"	4619.5	"P"	1170	"P"	7247.8	"P"	12886.4	"P"	7198.5	"P"	5238.7	"P"	8820	5514	0.63	1.24823633516688E-005		
"1373_at"	"M31523"	"Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)"	2471	"P"	1936.5	"P"	2861	"P"	2262.5	"P"	3873.5	"P"	3455.3	"P"	2267.3	"P"	2474.9	"P"	2191.8	"P"	2378.9	"P"	1271.1	"P"	1390.6	"P"	2070.4	"P"	1964.3	"P"	1151.3	"P"	715.5	"P"	475.9	"P"	1441.2	"P"	1119.6	"P"	1572.8	"P"	1308.5	"P"	1768.8	"P"	1349.3	"P"	1061.8	"P"	1553.4	"P"	1908.9	"P"	984.7	"P"	1025.6	"P"	1268.1	"P"	1367.3	"P"	1828	"P"	1692.4	"P"	1608	"P"	2828.6	"P"	1503.9	"P"	1417.9	"P"	1367.5	"P"	1998.1	"P"	1949.3	"P"	1736.5	"P"	1917	"P"	1411.4	"P"	2943.5	"P"	1410	"P"	1393.5	"P"	2771.7	"P"	2734.2	"P"	1943.2	"P"	1651.8	"P"	2711.8	"P"	1960.7	"P"	1583.9	"P"	1274.6	"P"	852.2	"P"	1105.7	"P"	802.2	"P"	1255.8	"P"	506.9	"A"	688.3	"P"	859.8	"P"	155.4	"A"	478.3	"P"	1385.3	"A"	473.4	"P"	644.8	"P"	1152.5	"P"	1411.1	"P"	1412.4	"P"	955.2	"P"	495.6	"P"	1444.9	"P"	1737.6	"P"	888.1	"P"	785.7	"P"	1218.8	"P"	704.6	"P"	201.5	"M"	1215.7	"P"	1334.9	"P"	1132	"P"	587.4	"P"	340.3	"P"	790.2	"P"	868.3	"P"	913.4	"P"	854.6	"P"	731.5	"P"	1068.1	"P"	1178.8	"P"	1255.9	"P"	1500	930	0.62	8.94202365434908E-009		
"148_at"	"U88629"	"ELL-RELATED RNA POLYMERASE II, ELONGATION FACTOR"	761.3	"P"	220.7	"P"	1094.6	"A"	961.2	"P"	412.2	"A"	1067.9	"A"	719.1	"P"	481.5	"P"	247	"A"	706.7	"P"	926.5	"P"	1253	"P"	681.2	"M"	1608.5	"P"	2561.1	"P"	1326.8	"P"	1938.5	"P"	390.9	"P"	2024.8	"P"	1476.1	"P"	1161.9	"P"	1236.6	"P"	858.6	"P"	1634.2	"P"	809.2	"A"	977	"P"	1839.6	"A"	1103.9	"P"	867.1	"P"	829.5	"P"	1453.6	"P"	1026	"P"	1233.9	"P"	914.3	"P"	2459.8	"P"	830.4	"P"	642.7	"P"	862.9	"A"	626.7	"P"	889.2	"P"	1447.9	"P"	548.4	"P"	535.1	"P"	958	"P"	808.8	"P"	298.9	"P"	1024.1	"P"	863.1	"P"	499.2	"P"	990.8	"P"	419.4	"P"	531.7	"P"	745.8	"P"	1299.8	"P"	1070.9	"P"	2614	"P"	2512.5	"P"	2798.7	"P"	1105	"P"	1357.7	"P"	4726.7	"P"	2426.4	"P"	1665.4	"P"	2508	"P"	1530.1	"P"	2452.9	"P"	2978.8	"P"	846.1	"P"	1043.5	"P"	1532.4	"P"	1795.1	"P"	2360.5	"P"	3444	"P"	1420.8	"P"	1288.5	"P"	1706.1	"P"	2261.9	"P"	1522	"P"	1192.2	"P"	1474.8	"P"	2319	"P"	1143	"P"	2633	"P"	2112.6	"P"	1070.7	"P"	433.4	"P"	2398.1	"A"	1618.5	"A"	793.4	"P"	785	"P"	1089	1780	1.63	0.0001203752		
"1519_at"	"J04102"	"v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)"	1429.1	"P"	1429.8	"P"	876	"P"	1805.3	"P"	1060.4	"P"	1018.4	"P"	928.3	"P"	1939	"P"	1263.6	"P"	2033.9	"P"	2047.4	"P"	1215.2	"P"	2384.4	"P"	768.8	"P"	2344	"P"	2126	"P"	2027	"P"	1537.7	"P"	496.3	"P"	1255.9	"P"	1545.2	"P"	924.3	"P"	1283.8	"P"	905.4	"P"	1154.8	"P"	1341.3	"P"	1108.2	"P"	1463.8	"P"	1202.8	"P"	1343.4	"P"	1389.6	"P"	1042.5	"P"	1272	"P"	5075.4	"P"	821.6	"P"	1768.1	"P"	1839	"P"	763.8	"P"	559.3	"P"	688.2	"P"	751.4	"P"	1232.5	"P"	1473.5	"P"	4750	"P"	1885.4	"P"	731.7	"P"	1730.9	"P"	4307.8	"P"	1858.3	"P"	696.2	"P"	1928.3	"P"	2694.8	"P"	2211.1	"P"	2937.5	"P"	1524	"P"	1648.4	"P"	1326	"P"	4563.1	"P"	4792.7	"P"	1576.3	"P"	725.6	"A"	5030.4	"P"	642.2	"A"	14321.4	"P"	6437.8	"P"	6351	"P"	719.2	"P"	2592.2	"P"	3496.1	"P"	5863.3	"P"	5013.8	"P"	1367.5	"P"	7609.2	"P"	2938.8	"P"	1604.4	"P"	4586.8	"P"	6227.6	"P"	3679.7	"P"	7535.8	"P"	11452.7	"P"	3681.6	"P"	5789.7	"P"	8271.8	"P"	4600.9	"P"	4138.4	"P"	1579.3	"P"	2213.3	"P"	928.9	"P"	1818.9	"P"	1787.3	"P"	1426	3642	2.55	3.75576247631E-006		
