...[mcl] new tab created
[mcl] pid 36272
 ite -------------------  chaos  time hom(avg,lo,hi) expa expb expc fmv
  1  ...................   0.20  0.06 1.04/0.98/1.14 1.00 1.00 1.00 100
  2  ...................   0.17  0.06 0.96/0.95/0.97 1.00 1.00 1.00 100
  3  ...................   0.18  0.05 0.95/0.95/0.95 1.00 1.00 1.00 100
  4  ...................   0.20  0.05 0.94/0.94/0.94 1.00 1.00 1.00 100
  5  ...................   0.22  0.06 0.93/0.93/0.93 1.00 1.00 1.00 100
  6  ...................   0.24  0.05 0.91/0.91/0.91 1.00 1.00 1.00 100
  7  ...................   0.26  0.05 0.90/0.90/0.90 1.00 1.00 1.00 100
  8  ...................   0.28  0.05 0.89/0.89/0.89 1.00 1.00 1.00 100
  9  ...................   0.31  0.05 0.87/0.87/0.87 1.00 1.00 1.00 100
 10  ...................   0.33  0.05 0.86/0.86/0.86 1.00 1.00 1.00 100
 11  ...................   0.36  0.06 0.84/0.84/0.84 1.00 1.00 1.00 100
 12  ...................   0.39  0.05 0.82/0.82/0.82 1.00 1.00 1.00 100
 13  ...................   0.43  0.07 0.80/0.80/0.80 1.00 1.00 1.00 100
 14  ...................   0.46  0.04 0.79/0.79/0.79 1.00 1.00 1.00 100
 15  ...................   0.50  0.06 0.77/0.77/0.77 1.00 1.00 1.00 100
 16  ...................   0.54  0.05 0.75/0.75/0.75 1.00 1.00 1.00 100
 17  ...................   0.58  0.05 0.73/0.73/0.73 1.00 1.00 1.00 100
 18  ...................   0.63  0.05 0.72/0.72/0.72 1.00 1.00 1.00 100
 19  ...................   0.67  0.05 0.70/0.70/0.70 1.00 1.00 1.00 100
 20  ...................   0.72  0.06 0.69/0.69/0.69 1.00 1.00 1.00 100
 21  ...................   0.78  0.05 0.68/0.68/0.68 1.00 1.00 1.00 100
 22  ...................   0.83  0.05 0.67/0.67/0.67 1.00 1.00 1.00 100
 23  ...................   0.90  0.05 0.66/0.66/0.66 1.00 1.00 1.00 100
 24  ...................   0.96  0.05 0.66/0.66/0.66 1.00 1.00 1.00 100
 25  ...................   1.03  0.04 0.65/0.65/0.65 1.00 1.00 1.00 100
 26  ...................   1.10  0.05 0.65/0.65/0.65 1.00 1.00 1.00 100
 27  ...................   1.15  0.05 0.64/0.64/0.64 1.00 0.97 0.97 100
 28  ...................   1.17  0.05 0.64/0.64/0.64 1.00 0.95 0.92 100
 29  ...................   1.19  0.05 0.64/0.64/0.64 1.00 0.95 0.87 100
 30  ...................   1.20  0.04 0.63/0.63/0.63 1.00 0.94 0.82 100
 31  ...................   1.23  0.03 0.63/0.63/0.63 1.00 0.95 0.78 100
 32  ...................   1.26  0.04 0.63/0.63/0.63 1.00 0.96 0.75 100
 33  ...................   1.30  0.04 0.62/0.62/0.62 1.00 0.96 0.72 100
